역명,주소,위도,경도
영등포구청역,서울특별시 영등포구 양산로 지하116(당산동3가),0.0,0.0
영등포시장역,서울특별시 영등포구 양산로 지하200(영등포동5가),37.5229656,126.9052474
신길역,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),37.51841,126.91477
여의도역,서울특별시 영등포구 여의나루로 지하40(여의도동),37.5216685,126.9243018
여의나루역,서울특별시 영등포구 여의동로 지하343(여의도동),37.5273508,126.9316708
마포역,서울특별시 마포구 마포대로 지하33(도화동),37.54072,126.94707
공덕역,서울특별시 마포구 마포대로 지하100(공덕동),37.54449,126.95132
애오개역,서울특별시 마포구 마포대로 지하210(아현동),37.5532952,126.9563948
충정로역,서울특별시 서대문구 충정로 지하 28-1(충정로3가),37.5603677,126.9631811
서대문역,서울특별시 종로구 통일로 지하126(평동),37.5659372,126.9660218
광화문역,서울특별시 종로구 세종대로 지하172(세종로),37.5717674,126.9746612
종로3가역,서울특별시 종로구 돈화문로11길 지하 26(돈의동),37.5704405,126.9923242
을지로4가역,서울특별시 중구 창경궁로 지하51(주교동),37.567797,126.9981347
동대문역사문화공원역,서울특별시 중구 마른내로 지하162(광희동1가),0.0,0.0
청구역,서울특별시 중구 청구로 지하77(신당동),37.5602449,127.0137974
신금호역,서울특별시 성동구 금호로 지하154(금호동2가),37.5552,127.01986
행당역,서울특별시 성동구 행당로 지하89(행당동),37.55705,127.02872
왕십리역,서울특별시 성동구 왕십리로 지하300(행당동),37.5611074,127.0354995
마장역,서울특별시 성동구 마장로 지하296(마장동),37.56542,127.04173
답십리역,서울특별시 성동구 천호대로 지하300(용답동),37.5667506,127.0531606
장한평역,서울특별시 동대문구 천호대로 지하405(장안동),37.56262,127.06514
군자역,서울특별시 광진구 천호대로 지하550(능동),37.5572582,127.0797471
아차산역,서울특별시 광진구 천호대로 지하657(능동),37.5517056,127.0900331
광나루역,서울특별시 광진구 아차산로 지하571(광장동),37.5452724,127.1037484
천호역,서울특별시 강동구 천호대로 지하997(천호동),37.53595,127.12271
강동역,서울특별시 강동구 천호대로 지하1097(천호동),39.1315292,126.129337
길동역,서울특별시 강동구 양재대로 지하1480(길동),37.5378438,127.1399127
굽은다리역,서울특별시 강동구 양재대로 지하1572(명일동),37.5460385,127.142799
명일역,서울특별시 강동구 양재대로 지하1632(명일동),37.55213,127.14392
고덕역,서울특별시 강동구 고덕로 지하253(고덕동),37.5553529,127.1558802
상일동역,서울특별시 강동구 고덕로 지하359(상일동),37.5566279,127.1654616
둔촌동역,서울특별시 강동구 양재대로 지하1369(둔촌동),37.5280719,127.1366797
올림픽공원역,서울특별시 송파구 양재대로 지하1233(방이동),37.5163484,127.1313146
방이역,서울특별시 송파구 양재대로 지하1127(방이동),37.5088199,127.1264659
오금역,서울특별시 송파구 오금로 지하321(오금동),37.501536,127.1280894
개롱역,서울특별시 송파구 오금로 지하402(가락동),37.4982405,127.1341191
거여역,서울특별시 송파구 오금로 지하499(거여동),37.49413,127.14245
마천역,서울특별시 송파구 마천로57길 지하7(마천동),37.4954409,127.1532374
강일역,서울특별시 강동구 고덕로 지하456(강일동),37.5574504,127.1767135
미사역,경기도 하남시 미사강변동로 지하90(망월동),37.5634369,127.1926433
하남풍산역,경기도 하남시 덕풍서로 지하50(덕풍동),37.5519584,127.2036311
하남시청역,경기도 하남시 하남대로 지하820(덕풍동),37.5416325,127.2074165
하남검단산역,경기도 하남시 대청로 지하100(창우동),37.5444724,127.2323811
응암역,서울특별시 은평구 증산로 지하477(신사동),37.5978531,126.9152383
